Number,Label,Name,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,E_place,S_gw,E_conf_gw,E_score1_gw,E_refine_gw,S_ase,E_conf_ase,E_score1_ase,E_refine_ase,S_adg,E_conf_adg,E_score1_adg,E_refine_adg,S_ahb,E_conf,E_score1_ahb,E_refine_ahb,S_ldg,E_conf_ldg,E_score1_ldg,E_refine_ldg
2554,0,CHEMBL378926,-5.39,-0.2,-0.599,-1.255,-5.39,-2.759,0.0,-1.574,-31.51,-0.358,0.573,0.0,-37.234,-31.869,9.479,36.7691,0.0,35.6427,-8.9519,-3.2878,64.5987,0.0,-68.0292,1.846,-5.3456,-1.0,-62.5899,0.2105,20.9343,25.174,3.4429,0.7968,-125.87,30.4928,3.7571,0.2546,-34.5045,0.0,269.9533,1.0,-66.693085,-5.9282069,-139.3313,-11.528701,-26.573596999999996,-13.550323,-139.47783,-9.880514100000001,-26.547642,-3.0091829,-139.47783,-9.880514100000001,-26.547642,-67.834404,-139.47783,-9.880514100000001,-26.547642,-9.8928604,-139.47783,-9.880514100000001,-26.547642
2555,0,CHEMBL379036,-5.914,-0.14400000000000002,-0.4970000000000001,-1.255,-5.914,-3.545,0.0,-0.056,-41.422,-3.851,0.37,-0.035,-58.442,-45.273,14.03,48.2409,0.7122,40.6771,-13.9197,5.5173,70.7213,1.0166,-71.4673,3.661,-5.9335,-3.9719,-62.6119,0.3089,24.8438,30.276,0.1814,5.2508,-151.38,33.1528,0.1799,1.4109,-34.7437,1.9357,221.6336,1.2237,-80.150063,-6.994111999999999,82.35234100000001,-11.249692999999999,-40.118938,-10.046075,82.357536,-10.41802,-39.186375,-4.1869202,82.357536,-10.41802,-39.186371,-84.92789499999999,82.357536,-10.41802,-39.186371,-10.385015,82.357536,-10.41802,-39.186371
2556,0,CHEMBL379094,-3.649,-0.099,-0.329,-0.7909999999999999,-3.649,-0.76,-0.331,-0.855,-39.707,-3.154,0.82,-0.065,-50.14100000000001,-42.861,6.882999999999999,33.0227,7.7196,33.3909,-9.9775,-10.6318,52.3656,1.816,-55.6174,1.8758,-4.4539,-2.0,-50.1088,0.2265,21.178,25.798,1.9371,2.6830000000000003,-128.99,8.7153,2.1355,1.2922,-12.1429,3.48,101.0258,6.5549,-124.74853999999999,-8.843399,-288.3439,-16.405275,-57.573212,-18.308146,-288.0697,-15.036288,-56.905609,-3.6934760000000004,-288.0697,-15.036288,-56.905609,-160.17103999999998,-288.0697,-15.036288,-56.905609,-15.254214000000001,-288.06964,-15.036288,-56.905613
2557,0,CHEMBL379118,-5.774,-0.222,-0.6579999999999999,-1.356,-5.774,-1.733,-0.204,-1.724,-37.598,-4.349,0.48,-0.061,-53.698,-41.947,7.805,18.6317,0.1998,34.1809,-7.5168,-21.05,61.7991,0.9516,-61.2049,1.14,-9.6149,-1.0,-52.0336,0.5249,28.2856,30.3,0.4099,1.6045,-151.5,23.7074,0.1205,0.8414,-24.6693,0.995,135.6067,0.0,-78.19367199999999,-6.3927073,-20.887142,-10.995249000000001,-31.184284,-11.286901,-20.699524,-10.009754,-30.777407,-3.500236,-20.699524,-10.009754,-30.777407,-81.453239,-20.699524,-10.009754,-30.777407,-9.971436500000001,-20.699524,-10.009754,-30.777407
2558,0,CHEMBL379149,-5.2410000000000005,-0.218,-0.63,-1.254,-5.2410000000000005,-1.242,-0.281,-1.795,-35.907,-2.086,0.185,0.0,-50.283,-37.992,0.325,49.2692,3.68,36.1259,-5.3649,1.281,56.6553,0.0,-58.5158,1.0686,-3.623,-0.7246,-60.067,2.8763,17.0741,18.746,1.2997,0.3722,-93.73,24.9542,0.8422,0.036000000000000004,-25.8324,2.6459,120.2989,1.0,-74.476563,-5.8074508,8.9198999,-11.428485,-31.387709,-10.074413,8.92665,-9.385383599999999,-30.821686,-3.1425004,8.9266367,-9.385383599999999,-30.821628999999998,-97.419312,8.9263582,-9.385383599999999,-30.821716,-9.3768644,8.9256124,-9.385383599999999,-30.820821999999996
2559,0,CHEMBL379153,-3.935,-0.127,-0.399,-0.888,-3.935,-2.015,0.0,-0.735,-37.445,-0.5710000000000001,0.787,-0.015,-46.339,-38.016,6.03,36.5229,1.9563,46.7038,-2.8760000000000003,-26.7752,74.7082,1.0,-72.0849,0.2664,-5.1318,-1.0,-66.3567,0.2657,28.091,31.782,1.8737,1.8173,-158.91,32.0823,1.5825,1.0362,-34.701,0.9928,256.0669,1.584,-61.589802,-7.3908705999999995,-155.6232,-12.575409,-42.646159999999995,-15.026975,-155.58768,-13.400463,-42.752781,-3.4333312999999994,-155.58768,-13.400463,-42.752781,-99.98140699999999,-155.58768,-13.400463,-42.752781,-13.415320999999999,-155.58768,-13.400463,-42.752781
2560,0,CHEMBL379218,-6.285,-0.233,-0.698,-1.463,-6.285,-2.872,-0.2,-0.958,-41.239,-5.818,0.742,-0.062,-63.095,-47.057,12.628,25.3652,5.263,37.4462,-3.2039,-28.1825,69.5973,2.0,-65.6496,1.128,-8.4451,-1.0,-57.1555,0.1079,25.8329,26.67,0.1862,0.6509999999999999,-133.35,29.3225,0.2056,0.4831,-30.0112,1.9325,190.1119,1.6275,-59.765186,-6.664940799999999,3.5212488,-12.195297,-33.859303000000004,-15.549268,3.9992261,-13.881435,-32.800671,-3.2122142000000005,3.9992261,-13.881435,-32.800671,-106.33563999999998,3.9992261,-13.881435,-32.800671,-13.944975,3.9992261,-13.881435,-32.800671
2561,0,CHEMBL379279,-4.247,-0.125,-0.405,-0.938,-4.247,-1.11,-0.16,-0.509,-35.55,-8.984,0.657,0.0,-56.433,-44.534,2.8680000000000003,10.8242,0.0347,38.1823,-10.9362,-30.7749,66.6709,0.1638,-68.1024,1.929,-9.4914,-1.8911,-58.1185,0.3154,22.0327,23.982,0.0093,1.9401,-119.91,22.4341,0.0234,0.9586,-23.4162,2.7947,130.6158,2.6095,-88.226738,-8.7994375,22.447744,-10.593244,-52.066231,-21.412893,22.483534,-13.506197,-51.882008,-3.9679269999999995,22.483534,-13.506197,-51.882008,-164.73543,22.483534,-13.506197,-51.882008,-13.529248999999998,22.483534,-13.506197,-51.882008
2562,0,CHEMBL379345,-5.6770000000000005,-0.237,-0.682,-1.359,-5.6770000000000005,-2.577,0.0,-1.526,-39.825,0.415,0.409,-0.055,-51.341,-39.41,3.327,50.1452,0.0,37.4445,-2.8986,1.5577,52.7711,0.0,-52.8472,0.0531,-9.0321,-0.693,-44.8664,0.5026,18.7079,21.478,2.1653,0.6048,-107.39,20.3594,2.1816,0.6039,-23.1449,0.8029999999999999,167.0461,1.7818,-67.464134,-6.379207599999999,20.598417,-10.148381,-32.649143,-13.512976,20.576735,-10.118818,-31.929276,-2.7744402999999997,20.576736,-10.118818,-31.929277000000003,-107.87817,20.576735,-10.118818,-31.929276,-10.108001,20.576732999999997,-10.118818,-31.929274
2563,0,CHEMBL379346,-6.553,-0.211,-0.664,-1.4780000000000002,-6.553,-3.051,-0.125,-0.723,-40.044,-5.405,0.24,-0.08199999999999999,-62.52,-45.448,0.66,49.0824,0.0,37.5761,-5.3573,2.7725,64.5929,0.0,-67.2037,2.9237,-6.1694,0.0,-61.9518,0.28800000000000003,23.3156,26.896,1.3284,2.2519,-134.48,30.7132,1.8541,0.1115,-32.6788,0.8521,230.0247,1.0,-49.221458,-6.475441,-7.3608046,-11.337261,-33.37299,-10.988328,-7.2734742,-11.137402999999999,-33.025005,-3.7455377999999997,-7.2734742,-11.137402999999999,-33.025005,-106.02338,-7.2734742,-11.137402999999999,-33.025005,-11.146865,-7.2734742,-11.137402999999999,-33.025005
2564,0,CHEMBL379382,-6.1770000000000005,-0.199,-0.626,-1.393,-6.1770000000000005,-3.178,0.0,-1.253,-41.913,0.251,0.336,-0.025,-55.127,-41.662,3.841,45.4935,0.3119,34.4106,-5.5699,3.437,73.1664,0.9913,-71.8236,1.9461,1.4199,-0.8454,-74.4622,0.2268,33.4595,35.422,0.5217,1.4408,-177.11,31.0501,1.2465,0.3031,-32.5997,0.9983,238.303,1.6,-77.722946,-6.70608,43.126633,-11.882881,-38.548607000000004,-12.115588,43.201698,-12.23968,-37.816340999999994,-4.5945015,43.201698,-12.23968,-37.816345,-125.57365,43.201702000000004,-12.23968,-37.816349,-12.288163,43.201698,-12.23968,-37.816345
2565,0,CHEMBL379399,-5.426,-0.151,-0.498,-1.1840000000000002,-5.426,-1.399,-0.34700000000000003,-0.6459999999999999,-39.612,-8.252,0.349,-0.165,-61.922,-47.863,4.952,52.6693,1.7947,38.3181,-4.9849,3.1721,64.1024,1.0,-62.5292,2.109,-6.0337,-1.0,-56.3157,0.0982,21.3649,31.66,4.4964,5.7987,-158.3,25.2361,4.0768,1.8597,-31.1725,1.978,212.164,2.2411,-41.286049,-6.3405881,48.332553999999995,-9.4011679,-35.933475,-10.027205,47.735649,-9.559206,-34.813015,-3.4236742999999996,47.73637,-9.559206,-34.813885,-67.67439300000001,47.735626,-9.559206,-34.812965000000005,-9.550472300000001,47.738468,-9.559206,-34.815411
2566,0,CHEMBL379442,-5.327000000000001,-0.232,-0.659,-1.288,-5.327000000000001,-2.192,0.0,-1.889,-35.565,-0.828,0.6609999999999999,-0.005,-47.101000000000006,-36.393,5.7189999999999985,35.4479,10.7837,23.3056,-3.6133,-3.7677,51.1135,3.9665,-36.1444,0.8268,-0.6455,-4.0,-33.1045,2.834,15.4621,17.396,0.1581,1.7758,-86.98,14.7258,0.0819,0.6731,-15.4808,2.9863,67.1489,3.0586,-61.847359,-6.857375599999999,-174.26318,-13.365225,-35.854633,-11.527544,-174.33008999999998,-16.774160000000002,-36.101406,-4.2954626,-174.33008999999998,-16.774160000000002,-36.101406,-100.7289,-174.33008999999998,-16.774160000000002,-36.101406,-16.839136,-174.33008999999998,-16.774160000000002,-36.101406
2567,0,CHEMBL37950,-5.79,-0.193,-0.6,-1.3159999999999998,-5.79,-2.81,-0.1,-0.96,-44.02,-3.304,0.777,0.0,-60.905,-47.324,8.625,21.5829,0.0,44.0674,-9.6102,-29.3995,68.6332,0.0,-72.6133,1.8534,-2.7192,-3.608,-67.8991,0.5018,29.2845,32.402,2.0836,1.0339,-162.01,26.7549,3.0411,0.6546,-30.4505,1.0,238.4399,2.448,-60.577076,-7.6340261,-5.6690435,-11.186909,-40.180378000000005,-15.989729999999998,-5.610481299999999,-11.672535,-38.678436,-5.0452375,-5.610481299999999,-11.672535,-38.678436,-86.77624499999999,-5.610481299999999,-11.672535,-38.678436,-11.681694,-5.610481299999999,-11.672535,-38.678436
2568,0,CHEMBL379544,-6.07,-0.243,-0.71,-1.439,-6.07,-2.625,-0.184,-1.021,-37.81,-6.51,0.633,-0.005,-60.412,-44.32100000000001,2.71,46.3765,0.0,37.6675,-4.9383,-0.4781,51.2094,0.0,-52.4339,0.6427,-8.0139,0.0,-46.6344,0.6082,28.7946,29.146,0.0073,0.344,-145.73,22.27,0.0914,0.3661,-22.7275,1.5917,167.5568,2.9972,-87.92885600000001,-6.621108099999999,6.53578,-10.615216,-36.878284,-13.864303,6.5016565,-9.7737865,-36.152599,-2.741071,6.5016565,-9.7737865,-36.152599,-107.16129,6.5016565,-9.7737865,-36.152599,-9.820961,6.5016565,-9.7737865,-36.152599
2569,0,CHEMBL379658,-5.526,-0.173,-0.5479999999999999,-1.237,-5.526,-1.99,0.0,-1.51,-40.758,-2.7,0.417,0.0,-56.591,-43.458,4.395,34.7839,4.7304,38.1866,-10.5935,-11.8595,66.5524,1.0,-65.7257,2.0565,-7.9716,-1.9723,-57.4568,0.6143,29.3427,34.58,1.4014,3.8359,-172.9,26.8794,1.617,2.2055,-30.7019,2.7368,180.3168,1.9594,-64.973259,-7.575019800000001,125.53316000000001,-10.785418,-40.444721,-19.768339,125.35103000000001,-11.067463,-40.006783,-3.5620131,125.35116000000001,-11.067463,-40.006851,-118.91311999999999,125.35104,-11.067463,-40.006775,-11.025912,125.351,-11.067463,-40.007362
2570,0,CHEMBL379809,-6.407,-0.183,-0.599,-1.4069999999999998,-6.407,-2.995,-0.469,-0.242,-42.528,-8.019,0.654,-0.026,-70.485,-50.547,2.695,-4.5429,0.0,42.0154,-7.867000000000001,-54.4471,70.3249,1.0,-68.5134,1.8677,-8.8776,-1.8828,-58.3127,0.1126,25.2624,29.928,2.4199,2.2457,-149.64,24.0891,2.4199,0.6079,-27.1169,0.0,247.4569,2.8576,-31.298903999999997,-7.562799900000001,17.994336999999998,-12.803284,-43.953571000000004,-16.35693,17.974041,-14.039210999999998,-42.683552,-3.1079288,17.974041,-14.039210999999998,-42.683552,-138.08812,17.974041,-14.039210999999998,-42.683547999999995,-14.001736,17.974041,-14.039210999999998,-42.683552
2571,0,CHEMBL379975,-6.001,-0.231,-0.684,-1.409,-6.001,-1.999,-0.16,-1.038,-31.751,-8.419,0.146,-0.1,-55.65,-40.169,0.59,44.5462,9.4123,27.2592,-4.037,1.6895,48.1931,1.5002,-44.2024,1.0536,-5.5208,-3.0,-35.5681,0.0763,22.6434,24.03,0.1168,1.2699,-120.15,29.4691,0.4793,0.0669,-30.0153,2.4618,161.3068,1.0,-58.748638,-5.8884354000000005,-14.926995000000002,-10.972961,-32.105796999999995,-10.221678,-14.870892000000001,-9.6329041,-31.39394,-2.7472539,-14.8709,-9.6329041,-31.393934,-103.2664,-14.870907,-9.6329041,-31.393921000000002,-9.6081324,-14.870859,-9.6329041,-31.393709
2572,0,CHEMBL380317,-6.172999999999999,-0.147,-0.511,-1.3030000000000002,-6.172999999999999,-3.1210000000000004,-0.2,0.0,-44.851000000000006,-7.6720000000000015,0.654,-0.112,-68.832,-52.523,13.347,49.4764,0.0445,44.5279,-7.5477,-4.2463,80.3076,0.56,-80.5574,1.7392,-8.7318,-1.0,-71.4832,0.1607,20.5523,24.282,2.0148,1.7149,-121.41,27.4038,2.0471,0.9778,-30.4287,0.9634,235.2686,2.2639,-55.992343999999996,-7.2938719,-7.880291499999999,-10.767557,-38.943615,-12.439826,-7.894365299999999,-12.729972,-38.421638,-3.1205043999999997,-7.8944092,-12.729972,-38.421623,-61.836788,-7.8943424,-12.729972,-38.421634999999995,-12.688948,-7.8943395999999995,-12.729972,-38.421631
2573,0,CHEMBL380328,-6.0920000000000005,-0.244,-0.713,-1.444,-6.0920000000000005,-2.712,-0.16,-0.679,-29.575,-9.183,0.489,-0.174,-55.496,-38.758,2.162,26.1853,0.9604,30.857,-16.4656,-0.738,51.3456,1.952,-48.5471,3.0010000000000003,-5.3017,-0.7238,-43.3664,0.1107,18.0086,21.368,0.0308,3.3286,-106.84,23.2112,0.0622,1.8258,-25.0992,1.9285,139.3017,1.2188,-43.61322,-6.3044353,-99.819519,-11.260025,-35.586304,-9.423316,-102.79361,-9.4602489,-35.916813,-3.5102489,-102.79639,-9.4602489,-35.909134,-92.694664,-102.79803000000001,-9.4602489,-35.91045,-10.229046,-102.79533,-9.4602489,-35.911343
2574,0,CHEMBL380356,-5.734,-0.14,-0.482,-1.217,-5.734,-2.749,-0.087,-1.383,-36.967,-0.679,0.435,0.0,-53.111,-37.646,7.427,39.3487,3.9562,40.6086,-12.7165,-7.7279,79.3771,1.864,-76.6948,3.6634,-7.0622,-2.0,-69.0355,0.0551,26.9279,33.762,1.4199,5.4141,-168.81,39.379,1.3891,0.9506,-41.7186,3.7541,238.3753,1.6368,-23.189384,-8.0453129,159.46167,-12.741429,-45.956177000000004,-13.024919,159.58051,-13.844507,-45.971302,-4.9584188,159.58051,-13.844507,-45.971302,-100.72683,159.58051,-13.844507,-45.971302,-13.854257999999998,159.58051,-13.844507,-45.971302
2575,0,CHEMBL380431,-5.291,-0.123,-0.431,-1.111,-5.291,-2.908,0.0,-0.197,-42.396,-2.449,0.301,0.0,-60.89100000000001,-44.845,2.5540000000000003,41.7861,2.4467,39.3217,-12.3549,-2.3731,68.7003,1.0,-70.2857,4.2666,-6.5285,-1.0,-64.5278,0.3096,28.0504,33.25,0.3166,4.8829,-166.25,32.0696,0.3513,0.4035,-32.8245,0.9998,231.6515,1.2101,-93.68701899999999,-7.0364804,172.32085,-13.259858,-39.731730999999996,-9.4723396,172.38597,-11.390069,-38.483146999999995,-4.7224202,172.38318,-11.390069,-38.479675,-81.54245,172.38121,-11.390069,-38.478539000000005,-11.398251,172.38687,-11.390069,-38.483608000000004
2576,0,CHEMBL380515,-4.843,-0.151,-0.48,-1.084,-4.843,-2.211,0.0,-0.454,-42.657,-3.129,0.424,0.0,-55.395,-45.786,6.532,-2.4401,0.6951,27.4131,-7.1841,-33.644,59.5902,0.9913,-58.7116,1.4552,-9.161,-1.0,-50.0912,0.3859,24.7296,27.21,0.1609,2.3195,-136.05,21.7297,0.1023,0.9877,-22.8198,0.8267,156.5499,1.46,-76.650406,-7.5734353,25.724307999999997,-10.13419,-35.123226,-20.595806,25.702804999999998,-12.535135,-34.201313,-3.6001544,25.702804999999998,-12.535135,-34.201313,-119.52243999999999,25.702804999999998,-12.535135,-34.201313,-12.487121,25.702804999999998,-12.535135,-34.201313
2577,0,CHEMBL380565,-8.192,-0.341,-0.985,-1.961,-8.192,-4.112,-0.451,-1.335,-39.001,-4.792,0.374,0.0,-60.067,-43.792,9.697,48.0356,1.253,41.1539,-10.6207,0.8167,83.2519,2.0,-77.9467,1.4955,-3.0919,-4.0461,-71.8066,0.0,38.3398,40.964,0.1484,2.4757,-204.82,39.4263,0.3751,1.3704,-41.1718,2.4132,270.3909,1.5641,-58.048389,-5.0313511,-27.024728999999997,-12.040474,-22.572056,-9.9754267,-26.933125,-10.7265,-22.260866,-2.3017006,-26.931804999999997,-10.7265,-22.262383,-57.296841,-26.931540000000002,-10.7265,-22.262663,-10.744425,-26.929783,-10.7265,-22.263714
2578,0,CHEMBL380617,-5.209,-0.127,-0.438,-1.105,-5.209,-3.003,0.0,-0.218,-42.173,-2.011,0.435,-0.013,-54.26300000000001,-44.184,9.907,50.706,0.0,45.879,-9.5006,-2.8771,74.4363,0.0,-75.6339,2.378,-9.3036,-2.0,-66.3648,1.2711,21.4593,27.608,1.3937,4.755,-138.04,33.2019,1.5228,0.9069,-35.6316,1.9684,233.3893,1.4568,-100.38661,-7.3452921,62.753517,-12.857614,-40.412304,-11.657729,62.515003,-11.793389999999999,-40.4856,-4.4285654999999995,62.515003,-11.793389999999999,-40.4856,-127.31029,62.515003,-11.793389999999999,-40.4856,-11.87227,62.515003,-11.793389999999999,-40.4856
2579,0,CHEMBL380618,-6.398,-0.152,-0.53,-1.351,-6.398,-3.003,-0.111,-0.134,-47.712,-6.718,0.399,-0.156,-72.455,-54.43,9.264,36.6589,1.5195,39.0652,-11.5073,-7.068,81.2413,1.0,-79.7428,3.1102,-9.2673,-2.0,-70.4178,0.0771,23.699,30.454,1.1438,5.6112,-152.27,35.145,1.0704,1.2716,-37.487,2.9894,219.6317,1.4354,-30.043471999999998,-7.5628729,51.661274,-11.198256,-41.319538,-17.183317000000002,51.653801,-11.731712,-39.691666,-4.489666000000001,51.653805,-11.731712,-39.691666,-116.19535,51.653801,-11.731712,-39.691666,-11.718952,51.653805,-11.731712,-39.691666
2580,0,CHEMBL380706,-5.71,-0.204,-0.619,-1.318,-5.71,-3.03,0.0,-1.4280000000000002,-43.33,1.409,0.703,0.0,-50.88800000000001,-41.92,10.495,40.2159,0.0,42.121,-9.8043,-7.8962,69.3208,0.0,-71.8135,1.6921,-3.6739,-0.3602,-69.5896,0.2626,29.4434,36.036,4.4773,2.1153,-180.18,32.8622,2.2003,0.8373,-35.8997,0.7020000000000001,267.4614,1.257,-48.492709999999995,-6.5284543,50.692513,-10.310266,-33.079147,-10.703698,50.577202,-11.513786999999999,-32.031818,-3.2894735,50.577202,-11.513786999999999,-32.031818,-90.344208,50.577202,-11.513786999999999,-32.031818,-11.470687,50.577202,-11.513786999999999,-32.031818
2581,0,CHEMBL380724,-5.043,-0.187,-0.56,-1.1740000000000002,-5.043,-2.608,0.0,-1.075,-42.739,-0.846,0.904,0.0,-51.544,-43.584,11.644,47.812,0.0692,43.0644,-6.4471,-5.0237,69.3461,0.0,-70.8866,0.8277,-9.0628,0.0,-63.5712,0.3497,29.6136,32.102,0.7441,1.7443,-160.51,30.103,0.1026,0.3778,-30.5835,0.9446,187.5931,0.0,-49.412926,-6.8151044999999995,-70.501678,-10.341997000000001,-36.400311,-15.605325,-70.600815,-10.618107,-36.168449,-3.6705453,-70.6008,-10.618107,-36.168434000000005,-97.66546600000001,-70.60083,-10.618107,-36.168457000000004,-10.532406,-70.600815,-10.618107,-36.168449
2582,0,CHEMBL38080,-5.9220000000000015,-0.165,-0.5429999999999999,-1.2919999999999998,-5.9220000000000015,-2.44,-0.048,-0.451,-42.904,-7.4689999999999985,0.306,-0.023,-70.4,-50.37300000000001,1.409,46.3301,4.8697,40.6797,-5.0921,-9.3821,77.7182,1.8863,-74.8636,1.7775,-8.1672,-2.0,-66.5702,0.004,33.7658,40.924,3.1866,3.9716,-204.62,31.2264,2.802,2.4955,-36.5239,0.9764,268.3607,1.4123,-77.406097,-6.807079300000001,79.613052,-10.60189,-35.780571,-11.873775,79.615059,-11.952872,-35.396072,-5.3331456,79.615059,-11.952872,-35.396072,-100.52112,79.615059,-11.952872,-35.396072,-11.985493,79.615059,-11.952872,-35.396072
2583,0,CHEMBL380946,-3.102,-0.103,-0.321,-0.705,-3.102,-3.2,0.0,0.936,-40.874,2.582,0.8370000000000001,-0.018000000000000002,-41.026,-38.293,7.499,50.8947,2.1822,42.2875,-3.383,-6.0499,76.6104,0.0,-79.5952,1.6739,-8.0357,-1.0,-70.9421,0.2448,28.1615,30.126,0.0579,1.9066,-150.63,30.8136,0.1244,1.1346,-32.0726,1.9584,206.7337,1.6158,-93.307648,-7.391789900000001,-13.430357999999998,-10.754681,-42.718075,-17.376371,-13.255314000000002,-11.237939,-42.020179999999996,-4.5152125,-13.255314000000002,-11.237939,-42.020179999999996,-127.91498,-13.255315,-11.237939,-42.020179999999996,-11.198359,-13.255315,-11.237939,-42.020179999999996
2584,0,CHEMBL381421,-6.901,-0.276,-0.807,-1.636,-6.901,-3.004,-0.269,-1.358,-45.864,-2.9730000000000003,0.47,0.0,-68.322,-48.837,2.383,47.232,0.0,40.3824,-8.9985,0.7046,72.8345,0.0,-71.3247,1.4848,-8.7761,0.0,-64.4593,0.3178,39.4861,40.862,0.3103,1.0656,-204.31,35.3754,0.4971,0.0986,-35.9711,1.4866,240.0512,1.0,-82.990273,-6.1783185,28.656723,-11.276164999999999,-31.612066,-10.864922,28.637434000000002,-9.6018009,-31.191992,-2.9941682999999997,28.637434000000002,-9.6018009,-31.191992,-97.48226899999999,28.637434000000002,-9.6018009,-31.191992,-9.6164846,28.637434000000002,-9.6018009,-31.191992
2585,0,CHEMBL381584,-5.694,-0.154,-0.513,-1.235,-5.694,-2.107,-0.579,-0.621,-39.055,-5.282,0.417,-0.06,-54.299,-44.337,11.413,49.5911,1.3077,38.8758,-6.3007,1.1299,74.4129,1.0,-74.3058,2.6952,-9.9993,-1.64,-63.5102,0.4746,36.3679,41.94,3.282,2.2901,-209.7,29.4156,2.9037,0.5934,-32.9127,1.8453,238.8034,2.6057,-51.565899,-7.443556299999999,-58.271004000000005,-14.540689000000002,-43.27528,-15.593469,-57.989109,-14.623185000000001,-42.641971999999996,-3.5550647000000004,-57.989067000000006,-14.623185000000001,-42.642016999999996,-146.98474,-57.989070999999996,-14.623185000000001,-42.642014,-14.615466,-57.989098,-14.623185000000001,-42.641983
2586,0,CHEMBL381645,-8.213,-0.257,-0.815,-1.839,-8.213,-4.694,-0.32,-0.5870000000000001,-44.723,-6.0520000000000005,0.541,-0.009000000000000001,-75.779,-50.775,8.831,56.9423,10.8599,47.2808,-14.3468,-4.582,97.7537,2.78,-92.1303,2.7538,-8.5961,-3.0,-83.4453,0.0558,42.3488,44.36,0.1737,1.8375,-221.8,40.978,0.5386,0.4855,-42.0021,2.7742,282.7362,2.275,-68.300758,-7.4112577,20.517326,-12.691398,-38.538494,-19.735301999999997,20.586412,-12.062292,-37.305584,-5.4987779,20.586412,-12.062292,-37.305584,-124.5745,20.586412,-12.062292,-37.305584,-12.094818,20.586412,-12.062292,-37.305584
2587,0,CHEMBL382064,-7.819,-0.244,-0.7759999999999999,-1.751,-7.819,-3.087,-0.4,-1.429,-37.075,-9.041,0.385,-0.078,-75.959,-46.11600000000001,3.387,41.2554,0.0,41.1182,-12.8051,-2.477,81.3716,0.0,-83.1451,2.1463,-5.8051,-1.0,-78.8532,0.7399,31.7867,36.422,0.2101,4.4252,-182.11,35.3996,0.6494,2.7862,-38.8352,0.0,318.7619,1.539,-73.967674,-6.8091135,-82.395744,-11.55182,-39.2216,-12.730586,-82.38282,-10.946882,-38.588837,-3.3961046,-82.38282,-10.946882,-38.588837,-104.04836999999999,-82.38282,-10.946882,-38.588837,-10.948031,-82.38282,-10.946882,-38.588837
2588,0,CHEMBL382559,-6.2639999999999985,-0.153,-0.527,-1.329,-6.2639999999999985,-3.074,0.0,-0.945,-45.481,-2.321,0.381,-0.003,-62.739,-47.801,7.23,53.7724,6.7782,40.7529,-13.579,4.5379,75.3583,1.5363,-68.8288,2.6917,-7.3967,-1.6194,-64.6186,0.4031,25.9091,31.646,0.2365,5.5004,-158.23,24.796,0.5065,1.2177,-26.5202,0.9824,181.8609,1.3745,-74.391487,-8.0363874,117.93226999999999,-12.117236,-47.522808000000005,-14.915381,117.90203999999999,-12.823953999999999,-46.396167999999996,-4.4130425,117.90206,-12.823953999999999,-46.397114,-111.30001999999999,117.90221000000001,-12.823953999999999,-46.397422999999996,-12.730829,117.90238000000001,-12.823953999999999,-46.396263
2589,0,CHEMBL382607,-5.496,-0.16699999999999998,-0.534,-1.222,-5.496,-1.951,-0.2,-0.467,-35.94300000000001,-10.281,0.56,-0.1,-60.88399999999999,-46.224,12.06,23.0367,0.207,52.0802,-45.7661,-3.0144,78.0842,0.944,-76.971,3.0884,-10.2982,-2.0,-66.6972,0.4039,22.6791,26.376,0.0661,3.6308,-131.88,26.3641,0.209,1.246,-27.8192,1.9655,156.7043,1.0,-71.77372700000001,-7.380625200000001,26.289091,-13.361004000000001,-43.147263,-11.484373,26.326047999999997,-11.045109,-42.149338,-3.3358376000000005,26.326046,-11.045109,-42.149338,-89.78595,26.326047999999997,-11.045109,-42.149338,-11.118121,26.326047999999997,-11.045109,-42.149338
2590,0,CHEMBL382616,-4.317,-0.123,-0.403,-0.948,-4.317,-1.536,-0.11,-0.412,-39.69300000000001,-4.76,0.482,-0.042,-52.371,-44.45399999999999,8.956,28.3598,0.0,37.3906,-22.3505,-0.7017,64.3173,0.0,-65.0983,0.9547,-7.2065,0.0,-58.5639,0.182,28.8594,30.548,0.4885,1.2001,-152.74,31.4216,0.1539,0.4194,-31.9949,0.8869,226.2813,1.1415,-87.24215699999999,-7.0884285,18.147627,-12.322632,-35.612034,-14.865552,18.162022,-11.905351,-33.752078999999995,-3.6253664,18.162022,-11.905351,-33.752078999999995,-97.459808,18.162022,-11.905351,-33.752078999999995,-11.890112,18.162022,-11.905351,-33.752078999999995
